,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
1,Rob Gronkowski\GronRo00,2011,22,2-42,NWE,NFL,16,16,240.9,330.9,15.06,20.68,0,0,0,0,0,1,2,1,90,1327,17,0
2,Antonio Gates\GateAn00,2010,30,,SDG,NFL,10,10,138.2,188.2,13.82,18.82,0,0,0,0,0,0,0,0,50,782,10,0
3,Jimmy Graham\GrahJi00,2013,27,3-95,NOR,NFL,16,12,217.5,303.5,13.59,18.97,0,0,0,0,0,0,0,0,86,1215,16,0
4,Rob Gronkowski\GronRo00,2012,23,2-42,NWE,NFL,11,11,143.0,198.0,13.00,18.00,0,0,0,0,0,0,0,0,55,790,11,1
5,Jimmy Graham\GrahJi00,2011,25,3-95,NOR,NFL,16,11,197.0,296.0,12.31,18.50,0,0,0,0,0,0,0,0,99,1310,11,1
6,Rob Gronkowski\GronRo00,2014,25,2-42,NWE,NFL,15,10,184.4,266.4,12.29,17.76,0,0,0,0,0,0,0,0,82,1124,12,0
7,Rob Gronkowski\GronRo00,2015,26,2-42,NWE,NFL,15,15,183.6,255.6,12.24,17.04,0,0,0,0,0,0,0,0,72,1176,11,0
8,Todd Christensen\ChriTo00,1983,27,2-56,RAI,NFL,16,16,195.7,287.7,12.23,17.98,0,0,0,0,0,0,0,0,92,1247,12,1
9,Travis Kelce\KelcTr00,2018,29,3-63,KAN,NFL,16,16,191.6,294.6,11.98,18.41,0,0,0,0,0,0,0,0,103,1336,10,2
10,Kellen Winslow*\WinsKe00,1982,25,1-13,SDG,NFL,9,9,107.1,161.1,11.90,17.90,0,1,0,0,0,0,0,0,54,721,6,1
11,Antonio Gates\GateAn00,2004,24,,SDG,NFL,15,15,174.4,255.4,11.63,17.03,0,0,0,0,0,0,0,0,81,964,13,0
12,Antonio Gates\GateAn00,2005,25,,SDG,NFL,15,15,170.1,259.1,11.34,17.27,0,0,0,0,0,0,0,0,89,1101,10,0
13,Rob Gronkowski\GronRo00,2017,28,2-42,NWE,NFL,14,14,158.4,227.4,11.31,16.24,0,0,0,0,0,0,0,0,69,1084,8,1
14,Kellen Winslow*\WinsKe00,1980,23,1-13,SDG,NFL,16,11,181.0,270.0,11.31,16.88,0,0,0,0,0,0,0,0,89,1290,9,2
15,Jordan Reed\ReedJo02,2015,25,3-85,WAS,NFL,14,9,157.2,244.2,11.23,17.44,0,0,0,0,0,0,0,0,87,952,11,3
16,Shannon Sharpe*\SharSh00,1996,28,7-192,DEN,NFL,15,15,166.2,246.2,11.08,16.41,0,0,0,0,0,0,0,0,80,1062,10,1
17,Mark Bavaro\BavaMa00,1987,24,4-100,NYG,NFL,12,12,132.7,187.7,11.06,15.64,0,0,0,0,0,0,0,0,55,867,8,2
18,Vernon Davis\DaviVe00,2009,25,1-6,SFO,NFL,16,16,174.5,252.5,10.91,15.78,0,0,0,0,0,0,0,0,78,965,13,0
