,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
1,Jerry Rice*\RiceJe00,1987,25,1-16,SFO,NFL,12,12,248.9,313.9,20.74,26.16,0,0,0,0,0,8,51,1,65,1078,22,2
2,Wes Chandler\ChanWe00,1982,26,1-3,SDG,NFL,8,8,160.4,209.4,20.05,26.18,0,0,0,0,0,5,32,0,49,1032,9,0
3,Jerry Rice*\RiceJe00,1995,33,1-16,SFO,NFL,16,16,292.0,414.0,18.25,25.88,1,1,41,1,0,5,36,1,122,1848,15,3
4,Randy Moss*\MossRa00,2007,30,1-21,NWE,NFL,16,16,287.3,385.3,17.96,24.08,0,0,0,0,0,0,0,0,98,1493,23,0
5,Anthony Allen\AlleAn00,1987,28,6-156,WAS,NFL,3,3,51.7,64.7,17.23,21.57,0,0,0,0,0,0,0,0,13,337,3,0
6,Odell Beckham\BeckOd00,2014,22,1-12,NYG,NFL,12,11,204.0,295.0,17.00,24.58,0,1,0,0,0,7,35,0,91,1305,12,1
7,Randy Moss*\MossRa00,2003,26,1-21,MIN,NFL,16,16,267.0,378.0,16.69,23.63,0,1,0,0,0,6,18,0,111,1632,17,1
8,James Brim\BrimJa20,1987,24,,MIN,NFL,3,3,49.8,67.8,16.60,22.60,0,0,0,0,0,2,36,1,18,282,2,0
9,Calvin Johnson\JohnCa00,2011,26,1-2,DET,NFL,16,16,265.2,361.2,16.58,22.58,0,0,0,0,0,1,11,0,96,1681,16,1
10,Mark Clayton\ClayMa00,1984,23,8-223,MIA,NFL,15,15,246.4,319.4,16.43,21.29,0,1,0,0,1,3,35,0,73,1389,18,2
11,Isaac Bruce\BrucIs00,1995,23,2-33,STL,NFL,16,16,259.8,378.8,16.24,23.68,0,0,0,0,0,3,17,0,119,1781,13,2
12,Josh Gordon\GordJo02,2013,22,2-1,CLE,NFL,14,14,227.4,314.4,16.24,22.46,0,0,0,0,0,5,88,0,87,1646,9,0
13,Jerry Rice*\RiceJe00,1986,24,1-16,SFO,NFL,16,15,258.8,344.8,16.18,21.55,1,2,16,0,0,10,72,1,86,1570,15,2
14,Terrell Owens*\OwenTe00,2000,27,3-89,SFO,NFL,14,13,226.2,323.2,16.16,23.09,0,0,0,0,0,3,11,0,97,1451,13,3
15,Antonio Brown\BrowAn04,2014,26,6-195,PIT,NFL,16,16,257.9,386.9,16.12,24.18,2,2,20,1,0,4,13,0,129,1698,13,2
16,Terrell Owens*\OwenTe00,2002,29,3-89,SFO,NFL,14,14,221.9,321.9,15.85,22.99,0,0,0,0,0,7,79,1,100,1300,13,0
