,,,,,,,Games,Games,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,
Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,FantPt,PPR,FantPt,PPR/G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Fmb
1,Marshall Faulk*\FaulMa00,2000,27,1-2,STL,NFL,14,14,378.9,459.9,27.06,32.85,0,0,0,0,0,253,1359,18,81,830,8,0
2,LaDainian Tomlinson*\TomlLa00,2006,27,1-5,SDG,NFL,16,16,427.1,483.1,26.69,30.19,2,3,20,2,0,348,1815,28,56,508,3,2
3,Priest Holmes\HolmPr00,2002,29,,KAN,NFL,14,14,372.7,442.7,26.62,31.62,0,1,0,0,0,313,1615,21,70,672,3,1
4,Priest Holmes\HolmPr00,2004,31,,KAN,NFL,8,8,197.9,216.9,24.74,27.11,0,0,0,0,0,196,892,14,19,187,1,4
5,Marshall Faulk*\FaulMa00,2001,28,1-2,STL,NFL,14,14,342.7,425.7,24.48,30.41,0,1,0,0,0,260,1382,12,83,765,9,3
6,Greg Hill\HillGr00,1998,26,1-25,STL,NFL,2,2,48.6,49.6,24.30,24.80,0,0,0,0,0,40,240,4,1,6,0,0
7,Priest Holmes\HolmPr00,2003,30,,KAN,NFL,16,16,373.0,447.0,23.31,27.94,0,1,0,0,0,320,1420,27,74,690,0,1
8,Emmitt Smith*\SmitEm00,1995,26,1-17,DAL,NFL,16,16,364.8,426.8,22.80,26.68,0,0,0,0,0,377,1773,25,62,375,0,7
9,Shaun Alexander\AlexSh00,2005,28,1-19,SEA,NFL,16,16,363.8,378.8,22.74,23.68,0,0,0,0,0,370,1880,27,15,78,1,5
10,Terrell Davis*\DaviTe00,1998,26,6-196,DEN,NFL,16,16,360.5,385.5,22.53,24.09,0,0,0,0,0,392,2008,21,25,217,2,2
11,Todd Gurley\GurlTo01,2018,24,1-10,LAR,NFL,14,14,313.1,372.1,22.36,26.58,0,0,0,0,0,256,1251,17,59,580,4,1
12,Chris Johnson\JohnCh04,2009,24,1-24,TEN,NFL,16,16,348.9,398.9,21.81,24.93,0,1,0,0,0,358,2006,14,50,503,2,3
13,Ahman Green\GreeAh00,2003,26,3-76,GNB,NFL,16,16,345.0,395.0,21.56,24.69,0,0,0,0,0,355,1883,15,50,367,5,7
14,LaDainian Tomlinson*\TomlLa00,2003,24,1-5,SDG,NFL,16,16,343.8,443.8,21.49,27.74,1,1,21,1,0,313,1645,13,100,725,4,2
15,Todd Gurley\GurlTo01,2017,23,1-10,LAR,NFL,15,15,319.3,383.3,21.29,25.55,0,0,0,0,0,279,1305,13,64,788,6,5
16,Edgerrin James\JameEd00,2000,22,1-4,IND,NFL,16,16,340.3,403.3,21.27,25.21,0,0,0,0,0,387,1709,13,63,594,5,5
17,Clinton Portis\PortCl00,2003,22,2-51,DEN,NFL,13,13,276.5,314.5,21.27,24.19,0,0,0,0,0,290,1591,14,38,314,0,3
18,Marcus Allen*\AlleMa00,1982,22,1-10,RAI,NFL,9,9,190.7,228.7,21.19,25.41,1,4,47,0,0,160,697,11,38,401,3,5
19,Emmitt Smith*\SmitEm00,1994,25,1-17,DAL,NFL,15,15,314.5,364.5,20.97,24.30,0,0,0,0,0,368,1484,21,50,341,1,1
20,Larry Johnson\JohnLa00,2005,26,1-27,KAN,NFL,16,9,335.3,368.3,20.96,23.02,0,0,0,0,0,336,1750,20,33,343,1,5
21,Larry Johnson\JohnLa00,2006,27,1-27,KAN,NFL,16,16,333.9,374.9,20.87,23.43,0,1,0,0,0,416,1789,17,41,410,2,2
22,Arian Foster\FostAr00,2010,24,,HOU,NFL,16,13,330.0,396.0,20.63,24.75,0,0,0,0,0,327,1616,16,66,604,2,3
23,Steven Jackson\JackSt00,2006,23,1-24,STL,NFL,16,16,329.4,419.4,20.59,26.21,0,0,0,0,0,346,1528,13,90,806,3,4
24,Jamaal Charles\CharJa00,2013,27,3-73,KAN,NFL,15,15,308.0,378.0,20.53,25.20,0,0,0,0,0,259,1287,12,70,693,7,4
25,Eric Dickerson*\DickEr00,1983,23,1-2,RAM,NFL,16,16,328.2,379.2,20.51,23.70,0,0,0,0,0,390,1808,18,51,404,2,13
26,David Johnson\JohnDa08,2016,25,3-86,ARI,NFL,16,16,327.8,407.8,20.49,25.49,0,0,0,0,0,293,1239,16,80,879,4,5
27,Ricky Williams\WillRi00,2002,25,1-5,MIA,NFL,16,16,323.6,370.6,20.23,23.16,0,0,0,0,0,383,1853,16,47,363,1,7
